total sulfur dioxide,sulphates,fixed acidity,chlorides,volatile acidity
150.0,0.71,6.2,0.038,0.21
221.0,0.61,7.7,0.048,0.42
157.0,0.5,7.0,0.042,0.27
150.0,0.71,6.2,0.038,0.21
127.0,0.5,7.4,0.042,0.29
178.0,0.45,6.6,0.053,0.29
182.0,0.52,6.0,0.046,0.3
128.0,0.47,6.9,0.032,0.31
89.0,0.44,6.6,0.02,0.33
122.0,0.39,7.8,0.028,0.3
136.0,0.46,6.4,0.041,0.39
114.0,0.66,6.4,0.038,0.24
101.0,0.59,7.0,0.057,0.21
157.0,0.47,6.4,0.043,0.16
188.0,0.62,6.0,0.185,0.33
139.0,0.56,6.5,0.042,0.23
240.0,0.47,6.2,0.044,0.25
49.0,0.33,8.8,0.022,0.28
183.0,0.5,6.6,0.052,0.25
191.0,0.61,6.9,0.04,0.38
129.0,0.49,6.4,0.038,0.25
183.0,0.5,6.6,0.052,0.25
191.0,0.61,6.9,0.04,0.38
142.0,0.39,7.1,0.021,0.21
129.0,0.49,6.4,0.038,0.25
19.0,0.37,6.9,0.022,0.39
57.0,0.55,5.8,0.031,0.2
136.0,0.61,7.0,0.03,0.2
152.0,0.43,5.9,0.034,0.26
160.0,0.43,7.4,0.041,0.38
113.0,0.55,7.4,0.022,0.2
253.0,0.56,7.0,0.033,0.21
176.0,0.54,6.9,0.049,0.18
175.0,0.32,7.3,0.025,0.3
177.0,0.32,7.2,0.024,0.29
167.0,0.55,6.9,0.036,0.2
160.0,0.5,6.7,0.038,0.2
253.0,0.56,7.0,0.033,0.21
138.0,0.5,5.9,0.11,0.35
107.0,0.48,7.1,0.032,0.28
175.0,0.43,5.8,0.056,0.25
178.0,0.85,6.8,0.051,0.22
136.0,0.96,7.1,0.051,0.14
134.0,0.97,7.1,0.047,0.13
176.0,0.54,6.9,0.049,0.18
173.0,0.54,7.0,0.05,0.2
247.0,0.56,6.8,0.057,0.24
128.0,0.57,5.0,0.039,0.44
168.0,0.69,6.3,0.042,0.3
135.0,0.46,7.2,0.05,0.27
238.0,0.44,6.7,0.078,0.5
46.0,0.6,6.8,0.028,0.2
113.0,0.4,6.7,0.043,0.11
113.0,0.4,6.7,0.043,0.11
120.0,0.46,6.8,0.045,0.12
140.0,0.39,6.6,0.13,0.16
144.0,0.39,6.6,0.135,0.21
172.0,0.45,6.1,0.039,0.27
124.0,0.46,9.1,0.035,0.27
104.0,0.58,6.4,0.115,0.225
98.0,0.56,8.3,0.039,0.14
197.0,0.53,7.2,0.052,0.23
178.0,0.82,6.9,0.053,0.22
145.0,0.75,8.1,0.053,0.17
55.0,0.38,6.0,0.042,0.395
213.0,0.61,7.8,0.056,0.29
178.0,0.82,6.9,0.053,0.22
145.0,0.75,8.1,0.053,0.17
197.0,0.53,7.2,0.052,0.23
119.0,0.3,7.6,0.039,0.3
117.0,0.29,7.7,0.04,0.34
117.0,0.29,7.7,0.04,0.34
116.0,0.45,5.8,0.037,0.34
119.0,0.3,7.6,0.039,0.3
117.0,0.29,7.7,0.04,0.34
92.0,0.69,5.9,0.033,0.24
144.0,0.56,6.4,0.046,0.46
92.0,0.69,5.9,0.033,0.24
173.0,0.52,7.4,0.049,0.32
157.0,0.43,7.2,0.05,0.31
215.0,0.58,7.8,0.054,0.42
153.0,0.77,6.9,0.046,0.24
113.0,0.4,5.4,0.041,0.18
75.0,0.58,6.0,0.036,0.18
161.0,0.41,7.8,0.036,0.27
222.0,0.47,6.0,0.048,0.28
220.0,0.53,6.8,0.044,0.39
165.0,0.44,6.6,0.039,0.21
112.0,0.46,7.3,0.032,0.32
161.0,0.41,7.8,0.036,0.27
205.0,0.41,6.4,0.046,0.31
204.0,0.41,6.2,0.046,0.29
246.0,0.38,6.0,0.046,0.39
206.0,0.43,6.2,0.046,0.3
222.0,0.47,6.0,0.048,0.28
120.0,0.56,6.0,0.063,0.41
166.0,0.46,6.5,0.045,0.26
229.0,0.59,7.9,0.072,0.35
125.0,0.46,6.2,0.04,0.3
77.0,0.52,8.4,0.036,0.18
133.0,0.51,6.6,0.034,0.56
125.0,0.46,6.2,0.04,0.3
133.0,0.51,6.6,0.034,0.56
85.0,0.61,6.6,0.021,0.36
212.0,0.58,7.3,0.071,0.655
104.0,0.43,6.8,0.053,0.18
117.0,0.43,6.7,0.047,0.19
77.0,0.52,8.4,0.036,0.18
167.0,0.56,7.0,0.042,0.21
155.0,0.59,6.8,0.046,0.25
139.0,0.48,7.4,0.031,0.24
90.0,0.44,7.1,0.044,0.16
90.0,0.42,7.1,0.043,0.16
110.0,0.69,7.3,0.06,0.205
161.0,0.62,7.4,0.037,0.17
108.0,0.53,7.3,0.044,0.3
82.0,0.44,6.9,0.035,0.25
110.0,0.69,7.3,0.06,0.205
108.0,0.45,7.5,0.04,0.42
177.0,0.4,7.3,0.034,0.25
177.0,0.4,7.3,0.034,0.25
177.0,0.4,7.3,0.034,0.25
126.0,0.39,7.5,0.034,0.34
126.0,0.39,7.6,0.036,0.33
169.0,0.47,8.7,0.044,0.23
169.0,0.47,8.7,0.044,0.23
101.0,0.54,6.9,0.036,0.19
118.0,0.5,7.3,0.034,0.21
118.0,0.5,7.3,0.034,0.21
153.0,0.4,6.6,0.035,0.22
73.0,0.39,9.2,0.026,0.34
169.0,0.47,8.7,0.044,0.23
105.0,0.47,6.0,0.03,0.2
101.0,0.54,6.9,0.036,0.19
166.0,0.54,8.2,0.042,0.38
117.0,0.95,6.9,0.036,0.18
151.0,0.49,7.7,0.039,0.34
117.0,0.95,6.9,0.036,0.18
116.0,0.77,7.4,0.038,0.2
166.0,0.54,8.2,0.042,0.38
169.0,0.52,8.2,0.042,0.4
149.0,0.54,6.7,0.038,0.22
166.0,0.47,6.6,0.17,0.3
103.0,0.63,8.1,0.03,0.27
182.0,0.75,7.3,0.041,0.25
163.0,0.61,4.8,0.028,0.34
111.0,0.5,6.2,0.029,0.28
163.0,0.61,4.8,0.028,0.33
117.0,0.3,6.1,0.021,0.27
117.0,0.95,6.9,0.036,0.18
143.0,0.76,7.8,0.042,0.18
173.0,0.82,7.3,0.04,0.28
97.0,0.7,7.3,0.037,0.24
159.0,0.48,6.0,0.08,0.45
151.0,0.49,7.7,0.039,0.34
125.0,0.34,6.3,0.03,0.26
33.0,0.28,10.3,0.037,0.17
64.0,0.39,7.7,0.029,0.15
141.0,0.57,7.1,0.037,0.21
119.0,0.36,6.9,0.018,0.36
104.0,0.38,6.0,0.119,0.28
110.0,0.37,6.2,0.126,0.16
111.0,0.82,6.9,0.037,0.12
141.0,0.57,7.1,0.037,0.21
121.0,0.48,8.8,0.04,0.36
125.0,0.55,7.4,0.022,0.26
125.0,0.55,7.4,0.022,0.26
236.0,0.52,6.8,0.035,0.23
105.0,0.67,6.1,0.024,0.34
173.0,0.51,7.3,0.04,0.26
90.0,0.68,6.5,0.044,0.3
173.0,0.51,7.3,0.04,0.26
90.0,0.68,6.5,0.044,0.3
166.0,0.63,5.0,0.046,0.31
114.0,0.4,5.8,0.031,0.26
114.0,0.48,5.9,0.036,0.26
128.0,0.36,7.0,0.037,0.31
114.0,0.4,5.8,0.031,0.26
67.0,0.53,5.6,0.043,0.19
242.0,0.53,6.8,0.047,0.18
87.0,0.46,7.0,0.044,0.29
67.0,0.49,6.6,0.039,0.26
242.0,0.53,6.8,0.047,0.18
145.0,0.56,6.6,0.052,0.2
113.0,0.37,8.0,0.046,0.29
229.0,0.4,6.1,0.048,0.28
206.0,0.39,5.9,0.047,0.31
159.0,0.47,6.9,0.056,0.21
101.0,0.65,8.4,0.047,0.19
72.0,0.61,8.3,0.048,0.27
124.0,0.43,7.1,0.036,0.25
159.0,0.47,8.0,0.054,0.23
144.0,0.63,6.3,0.04,0.33
143.0,0.63,6.2,0.042,0.33
145.0,0.63,6.3,0.041,0.34
30.0,0.35,5.8,0.038,0.29
88.0,0.37,8.0,0.05,0.32
30.0,0.35,5.6,0.038,0.29
137.0,0.56,7.4,0.042,0.13
124.0,0.33,7.7,0.037,0.3
107.0,0.39,7.0,0.031,0.24
107.0,0.32,8.6,0.04,0.18
144.0,0.44,7.0,0.057,0.11
153.0,0.44,7.7,0.036,0.32
153.0,0.44,7.7,0.036,0.32
215.0,0.43,6.5,0.044,0.26
152.0,0.49,7.9,0.044,0.28
100.0,0.43,6.3,0.047,0.27
80.0,0.38,5.4,0.042,0.595
173.0,0.48,6.7,0.057,0.25
179.0,0.47,6.5,0.055,0.25
115.0,0.51,6.1,0.044,0.36
84.0,0.4,7.7,0.017,0.17
230.0,0.38,6.4,0.033,0.26
225.0,0.41,6.5,0.046,0.26
205.0,0.41,5.9,0.037,0.29
233.0,0.38,6.2,0.039,0.28
230.0,0.4,6.1,0.041,0.27
67.0,0.41,6.4,0.048,0.43
115.0,0.51,6.1,0.044,0.36
244.0,0.55,6.2,0.044,0.35
194.0,0.47,7.7,0.044,0.24
197.0,0.6,6.2,0.034,0.34
212.0,0.53,6.3,0.037,0.27
88.0,0.41,5.4,0.039,0.415
135.0,0.38,6.9,0.03,0.48
131.0,0.44,6.5,0.051,0.18
105.0,0.44,6.7,0.058,0.15
205.0,0.43,8.2,0.047,0.345
147.0,0.36,8.5,0.039,0.16
57.0,0.52,6.8,0.048,0.705
84.0,0.46,7.3,0.034,0.25
134.0,0.38,7.6,0.043,0.345
143.0,0.49,7.6,0.035,0.22
99.0,0.55,6.5,0.028,0.17
117.0,0.36,8.2,0.042,0.23
143.0,0.49,7.6,0.035,0.22
134.0,0.38,7.6,0.043,0.345
133.0,0.38,7.5,0.042,0.32
79.0,0.54,6.6,0.041,0.23
78.0,0.54,6.6,0.039,0.2
174.0,0.42,7.3,0.05,0.24
174.0,0.42,7.3,0.05,0.24
101.0,0.57,8.0,0.037,0.42
174.0,0.42,7.3,0.05,0.24
112.0,0.51,6.1,0.023,0.19
152.0,0.43,5.9,0.034,0.26
101.0,0.36,8.3,0.035,0.23
188.0,0.37,6.5,0.041,0.34
153.0,0.42,6.8,0.039,0.22
93.0,0.7,6.5,0.028,0.08
68.0,0.51,5.5,0.019,0.42
102.0,0.36,5.1,0.017,0.42
110.0,0.47,6.0,0.02,0.27
93.0,0.7,6.5,0.028,0.08
114.0,0.9,7.1,0.046,0.13
111.0,0.49,7.6,0.054,0.3
131.0,0.45,6.6,0.058,0.13
189.0,0.49,6.5,0.05,0.14
155.0,0.62,7.7,0.037,0.28
54.0,0.47,6.0,0.15,0.2
55.0,0.46,6.0,0.152,0.19
155.0,0.62,7.7,0.037,0.28
72.0,0.45,5.1,0.027,0.39
77.0,0.45,5.7,0.026,0.36
149.0,0.52,6.9,0.043,0.19
122.0,0.52,6.0,0.05,0.41
161.0,0.48,7.4,0.054,0.28
163.0,0.45,7.4,0.053,0.3
149.0,0.52,6.9,0.043,0.19
117.0,0.38,7.7,0.036,0.28
143.0,0.39,8.6,0.04,0.16
69.0,0.62,8.2,0.046,0.26
217.0,0.39,6.5,0.049,0.25
62.0,0.47,7.0,0.046,0.24
187.0,0.55,8.6,0.04,0.18
154.0,0.45,7.8,0.046,0.27
29.0,0.63,6.0,0.046,0.26
152.0,0.47,6.1,0.062,0.24
184.0,0.5,8.0,0.056,0.24
165.0,0.54,7.6,0.046,0.21
84.0,0.45,8.0,0.05,0.19
216.0,0.46,6.4,0.045,0.28
221.0,0.45,6.4,0.045,0.28
136.0,0.48,6.9,0.063,0.24
153.0,0.55,5.8,0.038,0.36
91.0,0.64,6.6,0.044,0.18
153.0,0.55,5.8,0.038,0.36
79.0,0.43,5.1,0.052,0.52
199.0,0.55,6.6,0.059,0.22
146.0,0.39,8.3,0.055,0.15
109.0,0.75,7.6,0.043,0.16
173.0,0.66,7.7,0.048,0.16
98.0,0.41,8.3,0.057,0.16
210.0,0.5,6.2,0.048,0.25
162.0,0.43,6.1,0.064,0.16
113.0,0.29,7.6,0.036,0.39
136.0,0.88,6.8,0.071,0.37
109.0,0.75,7.6,0.043,0.16
157.0,0.31,7.1,0.045,0.18
189.0,0.62,8.3,0.049,0.14
125.0,0.49,8.6,0.041,0.2
125.0,0.49,8.6,0.041,0.2
188.0,0.37,6.8,0.019,0.19
174.0,0.38,7.6,0.06,0.19
185.0,0.7,6.8,0.088,0.34
123.0,0.51,6.2,0.039,0.15
140.0,0.51,6.6,0.042,0.14
60.0,0.3,8.0,0.04,0.55
128.0,0.59,7.0,0.052,0.24
245.0,0.57,6.3,0.05,0.6
166.0,0.62,7.1,0.054,0.2
232.0,0.62,6.2,0.047,0.34
234.0,0.64,7.1,0.055,0.3
234.0,0.64,7.1,0.055,0.3
227.0,0.74,7.9,0.244,0.64
148.0,0.67,8.8,0.04,0.17
75.0,0.88,7.5,0.06,0.17
77.0,0.56,7.1,0.044,0.47
104.0,0.52,7.1,0.034,0.15
102.0,0.74,7.5,0.035,0.17
138.0,0.71,8.2,0.047,0.68
75.0,0.56,7.7,0.039,0.275
104.0,0.45,7.3,0.043,0.49
243.0,0.4,7.5,0.048,0.33
94.0,0.48,7.2,0.049,0.21
92.0,0.45,7.3,0.05,0.15
107.0,0.45,6.5,0.046,0.19
61.0,0.43,7.0,0.029,0.31
75.0,0.43,8.3,0.038,0.4
116.0,0.62,6.1,0.035,0.37
152.0,0.54,7.3,0.048,0.24
123.0,0.39,6.9,0.137,0.21
86.0,0.39,7.6,0.035,0.29
119.0,0.69,9.4,0.05,0.29
61.0,0.43,7.0,0.029,0.31
111.0,0.44,8.6,0.049,0.26
111.0,0.47,7.5,0.06,0.21
197.0,0.47,7.2,0.093,0.51
111.0,0.47,7.5,0.06,0.21
166.0,0.54,5.3,0.077,0.3
121.0,0.72,8.0,0.054,0.26
185.0,0.55,7.0,0.07,0.21
216.0,0.68,6.7,0.079,0.26
202.0,0.67,6.7,0.073,0.26
159.0,0.7,8.1,0.072,0.26
126.0,0.5,8.3,0.054,0.22
172.0,0.45,6.4,0.048,0.3
125.0,0.49,7.5,0.037,0.19
87.0,0.4,8.8,0.024,0.33
147.0,0.56,6.9,0.031,0.2
166.0,0.55,8.0,0.04,0.37
126.0,0.5,8.3,0.054,0.22
118.0,0.4,8.2,0.036,0.29
192.0,0.47,7.7,0.048,0.34
186.0,0.5,6.2,0.049,0.55
124.0,0.54,6.4,0.033,0.4
180.0,0.59,7.5,0.048,0.28
132.0,0.65,7.8,0.037,0.26
197.0,0.42,6.5,0.051,0.26
118.0,0.39,6.8,0.059,0.15
155.0,0.38,6.3,0.038,0.27
155.0,0.38,6.3,0.038,0.27
190.0,0.42,7.4,0.048,0.2
142.0,0.33,6.3,0.035,0.23
160.0,0.45,7.3,0.041,0.31
128.0,0.49,5.2,0.027,0.24
123.0,0.42,7.0,0.037,0.24
190.0,0.42,7.4,0.048,0.2
127.0,0.39,7.0,0.034,0.17
213.0,0.51,8.3,0.049,0.21
178.0,0.47,7.2,0.048,0.21
156.0,0.43,7.1,0.069,0.21
132.0,0.32,8.4,0.038,0.17
183.0,0.32,7.4,0.045,0.24
97.0,0.38,5.3,0.033,0.24
139.0,0.37,6.5,0.04,0.28
142.0,0.33,6.3,0.035,0.23
120.0,0.34,6.5,0.039,0.29
120.0,0.79,5.8,0.025,0.29
155.0,0.38,6.3,0.038,0.27
107.0,0.43,6.3,0.028,0.17
148.0,0.53,6.3,0.033,0.16
117.0,0.42,7.9,0.036,0.29
160.0,0.45,7.3,0.041,0.31
191.0,0.49,5.5,0.028,0.32
128.0,0.49,5.2,0.027,0.24
87.0,0.59,7.2,0.029,0.37
76.0,0.51,6.1,0.024,0.29
151.0,0.46,9.2,0.054,0.22
87.0,0.59,7.2,0.029,0.37
96.0,0.61,8.0,0.04,0.18
177.0,0.44,6.5,0.053,0.22
102.0,0.44,7.4,0.047,0.18
26.0,0.32,6.5,0.047,0.52
96.0,0.39,7.0,0.047,0.15
64.0,0.52,5.9,0.04,0.415
216.0,0.64,8.1,0.037,0.45
64.0,0.52,5.8,0.04,0.415
138.0,0.33,6.4,0.042,0.5
106.0,0.45,6.7,0.051,0.105
117.0,0.48,6.0,0.047,0.4
89.0,0.4,6.6,0.04,0.25
124.0,0.46,9.8,0.042,0.36
135.0,0.49,9.6,0.044,0.23
182.0,0.46,6.3,0.047,0.55
166.0,0.25,6.5,0.038,0.115
99.0,0.32,6.4,0.042,0.125
100.0,0.46,5.7,0.047,0.1
117.0,0.32,7.9,0.031,0.25
159.0,0.43,6.9,0.048,0.2
128.0,0.52,6.9,0.047,0.23
162.0,0.54,6.8,0.043,0.39
114.0,0.43,8.7,0.053,0.22
127.0,0.42,7.4,0.042,0.41
161.0,0.47,6.7,0.048,0.25
178.0,0.4,6.0,0.027,0.26
170.0,0.4,6.1,0.031,0.31
133.0,0.58,9.2,0.058,0.28
91.0,0.34,9.0,0.034,0.31
57.0,0.46,8.5,0.076,0.16
146.0,0.61,9.3,0.052,0.34
133.0,0.58,9.2,0.058,0.28
131.0,0.45,7.2,0.048,0.24
132.0,0.44,7.2,0.047,0.25
223.0,0.41,6.8,0.041,0.32
151.0,0.41,9.1,0.031,0.27
188.0,0.49,8.9,0.041,0.34
111.0,0.49,7.0,0.025,0.17
220.0,0.35,6.7,0.038,0.25
219.0,0.4,6.9,0.042,0.32
223.0,0.41,6.8,0.041,0.32
79.0,0.38,6.1,0.042,0.6
102.0,0.35,5.3,0.035,0.395
171.0,0.44,7.9,0.037,0.16
172.0,0.48,7.6,0.034,0.33
135.0,0.38,7.8,0.054,0.3
135.0,0.38,7.8,0.054,0.3
189.5,0.38,5.7,0.201,0.26
135.0,0.38,7.8,0.054,0.3
153.0,0.8,7.5,0.055,0.14
135.0,0.38,7.8,0.054,0.3
151.0,0.6,6.6,0.043,0.25
189.5,0.38,5.7,0.201,0.26
73.0,0.38,8.2,0.057,0.23
129.0,0.41,6.0,0.03,0.24
82.0,0.32,6.1,0.039,0.45
113.0,0.62,7.4,0.044,0.23
74.0,0.37,7.2,0.037,0.2
153.0,0.8,7.5,0.055,0.14
115.0,0.5,7.7,0.062,0.25
118.0,0.34,8.2,0.03,0.61
119.0,0.7,7.6,0.036,0.21
101.0,0.55,7.4,0.045,0.22
214.0,0.5,7.2,0.036,0.26
173.0,0.44,6.4,0.042,0.25
198.0,0.5,6.3,0.039,0.32
189.0,0.54,6.8,0.042,0.25
167.0,0.39,9.8,0.036,0.44
109.0,0.36,7.2,0.044,0.2
118.0,0.34,8.2,0.03,0.61
125.0,0.36,7.5,0.029,0.42
101.0,0.55,7.4,0.045,0.22
134.0,0.47,6.4,0.025,0.26
138.0,0.44,7.9,0.033,0.46
225.0,0.51,6.5,0.065,0.41
184.0,0.43,7.5,0.048,0.32
104.0,0.4,6.6,0.026,0.21
143.0,0.33,7.1,0.037,0.21
55.0,0.45,7.6,0.068,0.26
119.0,0.7,7.6,0.036,0.21
135.0,0.72,6.9,0.024,0.25
107.0,0.42,7.1,0.074,0.26
129.5,0.41,7.3,0.042,0.22
216.0,0.6,6.2,0.025,0.37
141.0,0.46,7.9,0.038,0.22
135.0,0.72,6.9,0.024,0.25
129.5,0.41,7.3,0.042,0.22
107.0,0.42,7.1,0.074,0.26
93.0,0.48,7.4,0.02,0.25
93.0,0.45,6.8,0.027,0.18
75.0,0.46,7.0,0.028,0.17
192.0,0.37,6.4,0.046,0.3
97.0,0.44,5.0,0.049,0.33
97.0,0.44,5.0,0.049,0.33
200.0,0.46,8.9,0.047,0.33
171.0,0.35,7.0,0.037,0.26
192.0,0.37,6.4,0.046,0.3
134.0,0.49,6.3,0.031,0.21
125.0,0.47,8.0,0.03,0.23
59.0,0.25,9.2,0.042,0.28
188.0,0.3,7.3,0.064,0.27
155.0,0.52,7.6,0.04,0.32
97.0,0.44,5.0,0.049,0.33
59.0,0.47,9.7,0.033,0.24
169.0,0.43,8.0,0.045,0.28
93.0,0.32,8.2,0.034,0.37
220.0,0.48,8.0,0.301,0.61
126.0,0.34,7.2,0.027,0.26
93.0,0.32,8.2,0.034,0.37
217.5,0.44,6.4,0.044,0.23
127.0,0.58,5.9,0.034,0.4
115.0,0.67,7.6,0.038,0.28
169.0,0.43,8.0,0.045,0.28
102.0,0.54,7.2,0.033,0.23
87.0,0.53,6.8,0.023,0.32
102.0,0.54,7.2,0.033,0.23
110.0,0.42,6.9,0.039,0.18
109.0,0.28,9.4,0.047,0.26
96.0,0.32,8.3,0.033,0.33
238.0,0.41,7.3,0.043,0.29
114.0,0.54,7.9,0.03,0.41
93.0,0.54,7.9,0.033,0.44
131.0,0.44,7.7,0.037,0.39
155.0,0.5,7.7,0.043,0.26
195.0,0.48,7.8,0.036,0.32
87.0,0.53,6.8,0.023,0.32
116.0,0.51,7.3,0.024,0.24
128.0,0.43,7.1,0.041,0.44
164.0,0.59,10.3,0.042,0.25
178.0,0.43,7.9,0.041,0.14
187.0,0.41,7.4,0.036,0.18
141.0,0.39,8.1,0.033,0.43
128.0,0.43,7.1,0.041,0.44
131.0,0.32,6.4,0.037,0.26
233.0,0.68,8.0,0.042,0.66
167.0,0.4,8.0,0.055,0.2
80.0,0.4,7.2,0.046,0.21
73.0,0.4,7.2,0.045,0.18
195.0,0.51,8.4,0.051,0.57
160.0,0.51,5.3,0.034,0.26
150.0,0.42,5.7,0.049,0.245
152.0,0.42,5.6,0.047,0.245
165.0,0.39,7.3,0.037,0.25
150.0,0.3,7.0,0.138,0.16
104.0,0.57,6.4,0.057,0.22
157.0,0.62,7.3,0.046,0.18
223.0,0.35,6.4,0.036,0.17
212.0,0.39,6.9,0.034,0.29
245.0,0.36,6.2,0.036,0.21
236.0,0.34,6.4,0.037,0.23
156.0,0.64,7.3,0.05,0.19
157.0,0.62,7.3,0.046,0.18
223.0,0.46,9.6,0.039,0.29
73.0,0.39,7.2,0.036,0.14
174.0,0.62,6.9,0.059,0.31
116.0,0.41,7.5,0.028,0.28
163.0,0.69,8.0,0.044,0.22
145.0,0.35,7.6,0.04,0.31
190.0,0.58,8.4,0.048,0.35
163.0,0.69,8.0,0.044,0.22
126.0,0.42,8.1,0.037,0.5
162.0,0.48,7.0,0.169,0.39
126.0,0.42,8.1,0.037,0.5
190.0,0.58,8.4,0.048,0.35
132.0,0.46,6.2,0.064,0.22
163.0,0.69,8.0,0.044,0.22
145.0,0.35,7.6,0.04,0.31
133.0,0.37,7.0,0.083,0.24
153.0,0.62,6.6,0.025,0.27
140.0,0.78,7.8,0.026,0.16
168.0,0.48,7.7,0.028,0.27
147.0,0.43,7.4,0.039,0.31
151.0,0.25,8.0,0.026,0.45
168.0,0.48,7.7,0.028,0.27
140.0,0.78,7.8,0.026,0.16
147.0,0.44,6.6,0.05,0.16
110.0,0.6,8.3,0.032,0.21
109.0,0.51,7.2,0.029,0.32
78.0,0.44,6.6,0.034,0.16
98.0,0.42,8.4,0.033,0.16
191.0,0.56,7.5,0.038,0.23
79.0,0.54,6.2,0.037,0.17
102.0,0.87,6.9,0.03,0.39
102.0,0.86,6.9,0.031,0.41
191.0,0.56,7.5,0.038,0.23
131.0,0.44,7.5,0.045,0.38
122.0,0.37,7.3,0.045,0.42
163.0,0.47,7.3,0.04,0.34
166.0,0.4,7.8,0.042,0.23
159.0,0.35,9.0,0.045,0.245
176.0,0.27,6.9,0.032,0.2
212.0,0.33,7.4,0.067,0.19
163.0,0.3,8.2,0.035,0.2
228.0,0.75,8.0,0.038,0.59
114.0,0.49,7.9,0.05,0.14
105.0,0.49,6.8,0.047,0.24
142.0,0.62,9.7,0.049,0.14
130.0,0.45,9.2,0.046,0.15
94.0,0.61,9.4,0.049,0.17
142.0,0.39,5.2,0.041,0.365
116.0,0.5,6.3,0.039,0.23
160.0,0.43,9.6,0.04,0.25
186.0,0.48,9.2,0.046,0.32
169.0,0.46,6.4,0.04,0.31
162.0,0.46,8.1,0.044,0.2
190.0,0.39,7.9,0.026,0.255
177.0,0.62,7.0,0.039,0.15
96.0,0.51,6.4,0.044,0.15
234.0,0.42,6.4,0.038,0.25
114.0,0.74,7.6,0.044,0.19
114.0,0.43,7.3,0.028,0.43
152.0,0.56,5.1,0.037,0.31
161.0,0.66,6.2,0.093,0.2
182.0,0.62,6.9,0.043,0.16
114.0,0.52,7.7,0.04,0.32
168.0,0.36,6.5,0.042,0.22
167.0,0.44,6.8,0.047,0.26
81.0,0.38,5.2,0.028,0.37
104.0,0.46,8.4,0.052,0.19
108.0,0.45,8.3,0.05,0.21
110.0,0.4,6.8,0.058,0.15
210.0,0.51,7.9,0.05,0.16
180.0,0.75,7.8,0.034,0.21
107.0,0.34,9.0,0.048,0.24
189.0,0.72,5.7,0.047,0.21
161.0,0.37,7.8,0.042,0.29
251.0,0.52,6.7,0.048,0.18
251.0,0.52,6.7,0.048,0.18
116.0,0.39,8.4,0.033,0.58
121.0,0.33,7.2,0.04,0.16
151.0,0.33,7.6,0.029,0.54
116.0,0.39,8.4,0.033,0.58
181.0,0.47,6.6,0.059,0.25
165.0,0.4,7.3,0.041,0.23
113.0,0.48,7.3,0.043,0.39
163.0,0.35,7.0,0.039,0.46
162.0,0.34,8.2,0.039,0.35
161.0,0.37,7.8,0.042,0.29
61.0,0.28,9.2,0.042,0.35
122.0,0.67,8.0,0.034,0.57
130.0,0.39,6.5,0.027,0.37
189.0,0.72,5.7,0.047,0.21
251.0,0.52,6.7,0.048,0.18
179.0,0.41,7.8,0.04,0.13
143.0,0.42,7.6,0.04,0.19
191.0,0.59,7.3,0.05,0.22
167.0,0.44,6.3,0.039,0.29
103.0,0.46,6.8,0.048,0.35
132.0,0.54,6.5,0.04,0.19
158.0,0.37,6.2,0.044,0.12
189.5,0.43,6.0,0.038,0.13
115.0,0.48,6.4,0.04,0.25
96.0,0.38,6.9,0.051,0.32
143.0,0.42,7.6,0.04,0.19
140.0,0.33,6.7,0.046,0.13
95.0,0.43,7.0,0.037,0.14
115.0,0.45,7.6,0.058,0.27
191.0,0.59,7.3,0.05,0.22
185.0,0.49,7.4,0.168,0.64
116.0,0.4,7.6,0.052,0.28
162.0,0.38,8.3,0.042,0.26
181.0,0.68,10.7,0.044,0.22
181.0,0.68,10.7,0.044,0.22
121.0,0.38,6.9,0.032,0.23
130.0,0.41,6.2,0.032,0.3
134.0,0.69,6.9,0.047,0.27
136.0,0.71,6.9,0.05,0.28
132.0,0.38,6.9,0.047,0.28
126.0,0.42,6.9,0.054,0.46
152.0,0.35,6.9,0.044,0.38
98.0,0.61,5.7,0.039,0.43
92.0,0.35,6.6,0.045,0.56
102.0,0.33,7.1,0.046,0.36
133.0,0.7,6.8,0.047,0.23
138.0,0.64,6.2,0.042,0.33
116.0,0.9,5.6,0.039,0.49
85.0,0.51,6.6,0.034,0.42
143.0,0.48,7.3,0.044,0.18
180.0,0.34,8.1,0.037,0.19
123.0,0.42,5.9,0.034,0.19
81.0,0.42,6.2,0.029,0.16
85.0,0.51,6.6,0.034,0.42
101.0,0.42,5.7,0.042,0.135
116.0,0.9,5.6,0.039,0.49
98.0,0.46,6.9,0.039,0.19
143.0,0.48,7.3,0.044,0.18
200.0,0.46,7.3,0.05,0.25
200.0,0.46,7.3,0.05,0.25
83.0,0.46,7.0,0.035,0.2
200.0,0.46,7.3,0.05,0.25
222.0,0.52,6.3,0.052,0.67
122.0,0.5,7.4,0.044,0.4
128.0,0.64,7.1,0.044,0.26
73.0,0.38,9.0,0.043,0.31
117.0,0.35,6.3,0.069,0.39
90.0,0.38,8.2,0.034,0.22
78.0,0.78,7.1,0.033,0.19
200.0,0.46,7.3,0.05,0.25
118.0,0.41,7.9,0.04,0.2
97.0,0.4,7.1,0.037,0.26
83.0,0.46,7.0,0.035,0.2
155.0,0.79,6.9,0.035,0.3
124.0,0.41,8.1,0.042,0.29
130.0,0.38,5.8,0.037,0.17
63.0,0.36,5.9,0.038,0.415
128.0,0.6,6.6,0.045,0.23
366.5,0.63,8.6,0.057,0.55
