total sulfur dioxide,sulphates,fixed acidity,chlorides,volatile acidity,type_encoded
189.0,0.53,7.1,0.067,0.26,1
189.0,0.53,7.1,0.067,0.26,1
189.0,0.53,7.1,0.067,0.26,1
134.0,0.45,5.9,0.053,0.24,1
138.0,0.75,6.5,0.048,0.21,1
117.0,0.42,7.7,0.03,0.27,1
95.0,0.4,9.0,0.028,0.27,1
136.0,0.44,7.3,0.05,0.34,1
188.0,0.4,6.6,0.052,0.27,1
234.5,0.47,6.8,0.038,0.29,1
86.0,0.38,7.1,0.049,0.28,1
133.0,0.5,6.8,0.032,0.25,1
188.0,0.47,7.0,0.094,0.57,1
86.0,0.38,7.1,0.049,0.28,1
182.0,0.52,7.1,0.052,0.17,1
130.0,0.48,7.8,0.056,0.28,1
195.0,0.72,6.8,0.036,0.22,1
182.0,0.52,7.1,0.052,0.17,1
173.0,0.46,6.1,0.047,0.14,1
211.0,0.57,6.4,0.047,0.24,1
199.0,0.55,7.8,0.058,0.42,1
101.0,0.57,6.6,0.038,0.28,1
150.0,0.5,7.1,0.039,0.32,1
130.0,0.63,6.7,0.038,0.31,1
206.0,0.6,6.4,0.047,0.32,1
201.0,0.4,6.1,0.056,0.28,1
224.0,0.41,5.9,0.057,0.29,1
94.0,0.42,5.8,0.033,0.32,1
94.0,0.42,5.8,0.033,0.32,1
94.0,0.42,5.7,0.033,0.32,1
159.0,0.39,6.7,0.043,0.28,1
171.0,0.47,6.8,0.058,0.34,1
165.0,0.44,5.9,0.052,0.25,1
174.0,0.48,6.4,0.24,0.27,1
183.0,0.42,8.1,0.052,0.46,1
201.0,0.46,6.2,0.051,0.36,1
114.0,0.53,6.8,0.043,0.22,1
193.0,0.67,6.8,0.29,0.67,1
222.0,0.5,7.2,0.044,0.28,1
125.0,0.6,6.7,0.039,0.17,1
136.0,0.6,6.9,0.043,0.2,1
198.0,0.62,6.1,0.037,0.36,1
191.0,0.62,6.0,0.036,0.36,1
185.0,0.63,5.9,0.036,0.37,1
225.0,0.66,7.6,0.041,0.29,1
198.0,0.46,6.3,0.047,0.34,1
94.0,0.57,6.7,0.022,0.19,1
204.0,0.6,7.5,0.039,0.31,1
204.0,0.59,7.4,0.042,0.31,1
197.0,0.64,8.4,0.042,0.4,1
135.0,0.78,5.9,0.03,0.34,1
84.0,0.45,6.6,0.042,0.38,1
110.0,0.42,6.4,0.038,0.33,1
115.0,0.5,5.6,0.037,0.25,1
41.0,0.34,8.6,0.032,0.27,1
218.0,0.6,6.2,0.041,0.31,1
166.0,0.62,7.2,0.046,0.18,1
130.0,0.48,7.7,0.05,0.2,1
98.0,0.46,6.2,0.044,0.47,1
172.0,0.45,6.1,0.046,0.25,1
128.0,0.5,8.2,0.035,0.27,1
128.0,0.5,8.2,0.035,0.27,1
213.0,0.43,6.4,0.04,0.31,1
187.0,0.5,6.0,0.038,0.39,1
150.0,0.71,6.2,0.038,0.21,1
221.0,0.61,7.7,0.048,0.42,1
157.0,0.5,7.0,0.042,0.27,1
150.0,0.71,6.2,0.038,0.21,1
127.0,0.5,7.4,0.042,0.29,1
178.0,0.45,6.6,0.053,0.29,1
182.0,0.52,6.0,0.046,0.3,1
128.0,0.47,6.9,0.032,0.31,1
89.0,0.44,6.6,0.02,0.33,1
122.0,0.39,7.8,0.028,0.3,1
136.0,0.46,6.4,0.041,0.39,1
114.0,0.66,6.4,0.038,0.24,1
101.0,0.59,7.0,0.057,0.21,1
157.0,0.47,6.4,0.043,0.16,1
188.0,0.62,6.0,0.185,0.33,1
139.0,0.56,6.5,0.042,0.23,1
240.0,0.47,6.2,0.044,0.25,1
49.0,0.33,8.8,0.022,0.28,1
183.0,0.5,6.6,0.052,0.25,1
191.0,0.61,6.9,0.04,0.38,1
129.0,0.49,6.4,0.038,0.25,1
183.0,0.5,6.6,0.052,0.25,1
191.0,0.61,6.9,0.04,0.38,1
142.0,0.39,7.1,0.021,0.21,1
129.0,0.49,6.4,0.038,0.25,1
19.0,0.37,6.9,0.022,0.39,1
57.0,0.55,5.8,0.031,0.2,1
136.0,0.61,7.0,0.03,0.2,1
152.0,0.43,5.9,0.034,0.26,1
160.0,0.43,7.4,0.041,0.38,1
113.0,0.55,7.4,0.022,0.2,1
253.0,0.56,7.0,0.033,0.21,1
176.0,0.54,6.9,0.049,0.18,1
175.0,0.32,7.3,0.025,0.3,1
177.0,0.32,7.2,0.024,0.29,1
167.0,0.55,6.9,0.036,0.2,1
160.0,0.5,6.7,0.038,0.2,1
253.0,0.56,7.0,0.033,0.21,1
138.0,0.5,5.9,0.11,0.35,1
107.0,0.48,7.1,0.032,0.28,1
175.0,0.43,5.8,0.056,0.25,1
178.0,0.85,6.8,0.051,0.22,1
136.0,0.96,7.1,0.051,0.14,1
134.0,0.97,7.1,0.047,0.13,1
176.0,0.54,6.9,0.049,0.18,1
173.0,0.54,7.0,0.05,0.2,1
247.0,0.56,6.8,0.057,0.24,1
128.0,0.57,5.0,0.039,0.44,1
168.0,0.69,6.3,0.042,0.3,1
135.0,0.46,7.2,0.05,0.27,1
238.0,0.44,6.7,0.078,0.5,1
46.0,0.6,6.8,0.028,0.2,1
113.0,0.4,6.7,0.043,0.11,1
113.0,0.4,6.7,0.043,0.11,1
120.0,0.46,6.8,0.045,0.12,1
140.0,0.39,6.6,0.13,0.16,1
144.0,0.39,6.6,0.135,0.21,1
172.0,0.45,6.1,0.039,0.27,1
124.0,0.46,9.1,0.035,0.27,1
104.0,0.58,6.4,0.115,0.225,1
98.0,0.56,8.3,0.039,0.14,1
197.0,0.53,7.2,0.052,0.23,1
178.0,0.82,6.9,0.053,0.22,1
145.0,0.75,8.1,0.053,0.17,1
55.0,0.38,6.0,0.042,0.395,1
213.0,0.61,7.8,0.056,0.29,1
178.0,0.82,6.9,0.053,0.22,1
145.0,0.75,8.1,0.053,0.17,1
197.0,0.53,7.2,0.052,0.23,1
119.0,0.3,7.6,0.039,0.3,1
117.0,0.29,7.7,0.04,0.34,1
117.0,0.29,7.7,0.04,0.34,1
116.0,0.45,5.8,0.037,0.34,1
119.0,0.3,7.6,0.039,0.3,1
117.0,0.29,7.7,0.04,0.34,1
92.0,0.69,5.9,0.033,0.24,1
144.0,0.56,6.4,0.046,0.46,1
92.0,0.69,5.9,0.033,0.24,1
173.0,0.52,7.4,0.049,0.32,1
157.0,0.43,7.2,0.05,0.31,1
215.0,0.58,7.8,0.054,0.42,1
153.0,0.77,6.9,0.046,0.24,1
113.0,0.4,5.4,0.041,0.18,1
75.0,0.58,6.0,0.036,0.18,1
161.0,0.41,7.8,0.036,0.27,1
222.0,0.47,6.0,0.048,0.28,1
220.0,0.53,6.8,0.044,0.39,1
165.0,0.44,6.6,0.039,0.21,1
112.0,0.46,7.3,0.032,0.32,1
161.0,0.41,7.8,0.036,0.27,1
205.0,0.41,6.4,0.046,0.31,1
204.0,0.41,6.2,0.046,0.29,1
246.0,0.38,6.0,0.046,0.39,1
206.0,0.43,6.2,0.046,0.3,1
222.0,0.47,6.0,0.048,0.28,1
120.0,0.56,6.0,0.063,0.41,1
166.0,0.46,6.5,0.045,0.26,1
229.0,0.59,7.9,0.072,0.35,1
125.0,0.46,6.2,0.04,0.3,1
77.0,0.52,8.4,0.036,0.18,1
133.0,0.51,6.6,0.034,0.56,1
125.0,0.46,6.2,0.04,0.3,1
133.0,0.51,6.6,0.034,0.56,1
85.0,0.61,6.6,0.021,0.36,1
212.0,0.58,7.3,0.071,0.655,1
104.0,0.43,6.8,0.053,0.18,1
117.0,0.43,6.7,0.047,0.19,1
77.0,0.52,8.4,0.036,0.18,1
167.0,0.56,7.0,0.042,0.21,1
155.0,0.59,6.8,0.046,0.25,1
139.0,0.48,7.4,0.031,0.24,1
90.0,0.44,7.1,0.044,0.16,1
90.0,0.42,7.1,0.043,0.16,1
110.0,0.69,7.3,0.06,0.205,1
161.0,0.62,7.4,0.037,0.17,1
108.0,0.53,7.3,0.044,0.3,1
82.0,0.44,6.9,0.035,0.25,1
110.0,0.69,7.3,0.06,0.205,1
108.0,0.45,7.5,0.04,0.42,1
177.0,0.4,7.3,0.034,0.25,1
177.0,0.4,7.3,0.034,0.25,1
177.0,0.4,7.3,0.034,0.25,1
126.0,0.39,7.5,0.034,0.34,1
126.0,0.39,7.6,0.036,0.33,1
169.0,0.47,8.7,0.044,0.23,1
169.0,0.47,8.7,0.044,0.23,1
101.0,0.54,6.9,0.036,0.19,1
118.0,0.5,7.3,0.034,0.21,1
118.0,0.5,7.3,0.034,0.21,1
153.0,0.4,6.6,0.035,0.22,1
73.0,0.39,9.2,0.026,0.34,1
169.0,0.47,8.7,0.044,0.23,1
105.0,0.47,6.0,0.03,0.2,1
101.0,0.54,6.9,0.036,0.19,1
166.0,0.54,8.2,0.042,0.38,1
117.0,0.95,6.9,0.036,0.18,1
151.0,0.49,7.7,0.039,0.34,1
117.0,0.95,6.9,0.036,0.18,1
116.0,0.77,7.4,0.038,0.2,1
166.0,0.54,8.2,0.042,0.38,1
169.0,0.52,8.2,0.042,0.4,1
149.0,0.54,6.7,0.038,0.22,1
166.0,0.47,6.6,0.17,0.3,1
103.0,0.63,8.1,0.03,0.27,1
182.0,0.75,7.3,0.041,0.25,1
163.0,0.61,4.8,0.028,0.34,1
111.0,0.5,6.2,0.029,0.28,1
163.0,0.61,4.8,0.028,0.33,1
117.0,0.3,6.1,0.021,0.27,1
117.0,0.95,6.9,0.036,0.18,1
143.0,0.76,7.8,0.042,0.18,1
173.0,0.82,7.3,0.04,0.28,1
97.0,0.7,7.3,0.037,0.24,1
159.0,0.48,6.0,0.08,0.45,1
151.0,0.49,7.7,0.039,0.34,1
125.0,0.34,6.3,0.03,0.26,1
33.0,0.28,10.3,0.037,0.17,1
64.0,0.39,7.7,0.029,0.15,1
141.0,0.57,7.1,0.037,0.21,1
119.0,0.36,6.9,0.018,0.36,1
104.0,0.38,6.0,0.119,0.28,1
110.0,0.37,6.2,0.126,0.16,1
111.0,0.82,6.9,0.037,0.12,1
141.0,0.57,7.1,0.037,0.21,1
121.0,0.48,8.8,0.04,0.36,1
125.0,0.55,7.4,0.022,0.26,1
125.0,0.55,7.4,0.022,0.26,1
236.0,0.52,6.8,0.035,0.23,1
105.0,0.67,6.1,0.024,0.34,1
173.0,0.51,7.3,0.04,0.26,1
90.0,0.68,6.5,0.044,0.3,1
173.0,0.51,7.3,0.04,0.26,1
90.0,0.68,6.5,0.044,0.3,1
166.0,0.63,5.0,0.046,0.31,1
114.0,0.4,5.8,0.031,0.26,1
114.0,0.48,5.9,0.036,0.26,1
128.0,0.36,7.0,0.037,0.31,1
114.0,0.4,5.8,0.031,0.26,1
67.0,0.53,5.6,0.043,0.19,1
242.0,0.53,6.8,0.047,0.18,1
87.0,0.46,7.0,0.044,0.29,1
67.0,0.49,6.6,0.039,0.26,1
242.0,0.53,6.8,0.047,0.18,1
145.0,0.56,6.6,0.052,0.2,1
113.0,0.37,8.0,0.046,0.29,1
229.0,0.4,6.1,0.048,0.28,1
206.0,0.39,5.9,0.047,0.31,1
159.0,0.47,6.9,0.056,0.21,1
101.0,0.65,8.4,0.047,0.19,1
72.0,0.61,8.3,0.048,0.27,1
124.0,0.43,7.1,0.036,0.25,1
159.0,0.47,8.0,0.054,0.23,1
144.0,0.63,6.3,0.04,0.33,1
143.0,0.63,6.2,0.042,0.33,1
145.0,0.63,6.3,0.041,0.34,1
30.0,0.35,5.8,0.038,0.29,1
88.0,0.37,8.0,0.05,0.32,1
30.0,0.35,5.6,0.038,0.29,1
137.0,0.56,7.4,0.042,0.13,1
124.0,0.33,7.7,0.037,0.3,1
107.0,0.39,7.0,0.031,0.24,1
107.0,0.32,8.6,0.04,0.18,1
144.0,0.44,7.0,0.057,0.11,1
153.0,0.44,7.7,0.036,0.32,1
153.0,0.44,7.7,0.036,0.32,1
215.0,0.43,6.5,0.044,0.26,1
152.0,0.49,7.9,0.044,0.28,1
100.0,0.43,6.3,0.047,0.27,1
80.0,0.38,5.4,0.042,0.595,1
173.0,0.48,6.7,0.057,0.25,1
179.0,0.47,6.5,0.055,0.25,1
115.0,0.51,6.1,0.044,0.36,1
84.0,0.4,7.7,0.017,0.17,1
230.0,0.38,6.4,0.033,0.26,1
225.0,0.41,6.5,0.046,0.26,1
205.0,0.41,5.9,0.037,0.29,1
233.0,0.38,6.2,0.039,0.28,1
230.0,0.4,6.1,0.041,0.27,1
67.0,0.41,6.4,0.048,0.43,1
115.0,0.51,6.1,0.044,0.36,1
244.0,0.55,6.2,0.044,0.35,1
194.0,0.47,7.7,0.044,0.24,1
197.0,0.6,6.2,0.034,0.34,1
212.0,0.53,6.3,0.037,0.27,1
88.0,0.41,5.4,0.039,0.415,1
135.0,0.38,6.9,0.03,0.48,1
131.0,0.44,6.5,0.051,0.18,1
105.0,0.44,6.7,0.058,0.15,1
205.0,0.43,8.2,0.047,0.345,1
147.0,0.36,8.5,0.039,0.16,1
57.0,0.52,6.8,0.048,0.705,1
84.0,0.46,7.3,0.034,0.25,1
134.0,0.38,7.6,0.043,0.345,1
143.0,0.49,7.6,0.035,0.22,1
99.0,0.55,6.5,0.028,0.17,1
117.0,0.36,8.2,0.042,0.23,1
143.0,0.49,7.6,0.035,0.22,1
134.0,0.38,7.6,0.043,0.345,1
133.0,0.38,7.5,0.042,0.32,1
79.0,0.54,6.6,0.041,0.23,1
78.0,0.54,6.6,0.039,0.2,1
174.0,0.42,7.3,0.05,0.24,1
174.0,0.42,7.3,0.05,0.24,1
101.0,0.57,8.0,0.037,0.42,1
174.0,0.42,7.3,0.05,0.24,1
112.0,0.51,6.1,0.023,0.19,1
152.0,0.43,5.9,0.034,0.26,1
101.0,0.36,8.3,0.035,0.23,1
188.0,0.37,6.5,0.041,0.34,1
153.0,0.42,6.8,0.039,0.22,1
93.0,0.7,6.5,0.028,0.08,1
68.0,0.51,5.5,0.019,0.42,1
102.0,0.36,5.1,0.017,0.42,1
110.0,0.47,6.0,0.02,0.27,1
93.0,0.7,6.5,0.028,0.08,1
114.0,0.9,7.1,0.046,0.13,1
111.0,0.49,7.6,0.054,0.3,1
131.0,0.45,6.6,0.058,0.13,1
189.0,0.49,6.5,0.05,0.14,1
155.0,0.62,7.7,0.037,0.28,1
54.0,0.47,6.0,0.15,0.2,1
55.0,0.46,6.0,0.152,0.19,1
155.0,0.62,7.7,0.037,0.28,1
72.0,0.45,5.1,0.027,0.39,1
77.0,0.45,5.7,0.026,0.36,1
149.0,0.52,6.9,0.043,0.19,1
122.0,0.52,6.0,0.05,0.41,1
161.0,0.48,7.4,0.054,0.28,1
163.0,0.45,7.4,0.053,0.3,1
149.0,0.52,6.9,0.043,0.19,1
117.0,0.38,7.7,0.036,0.28,1
143.0,0.39,8.6,0.04,0.16,1
69.0,0.62,8.2,0.046,0.26,1
217.0,0.39,6.5,0.049,0.25,1
62.0,0.47,7.0,0.046,0.24,1
187.0,0.55,8.6,0.04,0.18,1
154.0,0.45,7.8,0.046,0.27,1
29.0,0.63,6.0,0.046,0.26,1
152.0,0.47,6.1,0.062,0.24,1
184.0,0.5,8.0,0.056,0.24,1
165.0,0.54,7.6,0.046,0.21,1
84.0,0.45,8.0,0.05,0.19,1
216.0,0.46,6.4,0.045,0.28,1
221.0,0.45,6.4,0.045,0.28,1
136.0,0.48,6.9,0.063,0.24,1
153.0,0.55,5.8,0.038,0.36,1
91.0,0.64,6.6,0.044,0.18,1
153.0,0.55,5.8,0.038,0.36,1
79.0,0.43,5.1,0.052,0.52,1
199.0,0.55,6.6,0.059,0.22,1
146.0,0.39,8.3,0.055,0.15,1
109.0,0.75,7.6,0.043,0.16,1
173.0,0.66,7.7,0.048,0.16,1
98.0,0.41,8.3,0.057,0.16,1
210.0,0.5,6.2,0.048,0.25,1
162.0,0.43,6.1,0.064,0.16,1
113.0,0.29,7.6,0.036,0.39,1
136.0,0.88,6.8,0.071,0.37,1
109.0,0.75,7.6,0.043,0.16,1
157.0,0.31,7.1,0.045,0.18,1
189.0,0.62,8.3,0.049,0.14,1
125.0,0.49,8.6,0.041,0.2,1
125.0,0.49,8.6,0.041,0.2,1
188.0,0.37,6.8,0.019,0.19,1
174.0,0.38,7.6,0.06,0.19,1
185.0,0.7,6.8,0.088,0.34,1
123.0,0.51,6.2,0.039,0.15,1
140.0,0.51,6.6,0.042,0.14,1
60.0,0.3,8.0,0.04,0.55,1
128.0,0.59,7.0,0.052,0.24,1
245.0,0.57,6.3,0.05,0.6,1
166.0,0.62,7.1,0.054,0.2,1
232.0,0.62,6.2,0.047,0.34,1
234.0,0.64,7.1,0.055,0.3,1
234.0,0.64,7.1,0.055,0.3,1
227.0,0.74,7.9,0.244,0.64,1
148.0,0.67,8.8,0.04,0.17,1
75.0,0.88,7.5,0.06,0.17,1
77.0,0.56,7.1,0.044,0.47,1
104.0,0.52,7.1,0.034,0.15,1
102.0,0.74,7.5,0.035,0.17,1
138.0,0.71,8.2,0.047,0.68,1
75.0,0.56,7.7,0.039,0.275,1
104.0,0.45,7.3,0.043,0.49,1
243.0,0.4,7.5,0.048,0.33,1
94.0,0.48,7.2,0.049,0.21,1
92.0,0.45,7.3,0.05,0.15,1
107.0,0.45,6.5,0.046,0.19,1
61.0,0.43,7.0,0.029,0.31,1
75.0,0.43,8.3,0.038,0.4,1
116.0,0.62,6.1,0.035,0.37,1
152.0,0.54,7.3,0.048,0.24,1
123.0,0.39,6.9,0.137,0.21,1
86.0,0.39,7.6,0.035,0.29,1
119.0,0.69,9.4,0.05,0.29,1
61.0,0.43,7.0,0.029,0.31,1
111.0,0.44,8.6,0.049,0.26,1
111.0,0.47,7.5,0.06,0.21,1
197.0,0.47,7.2,0.093,0.51,1
111.0,0.47,7.5,0.06,0.21,1
166.0,0.54,5.3,0.077,0.3,1
121.0,0.72,8.0,0.054,0.26,1
185.0,0.55,7.0,0.07,0.21,1
216.0,0.68,6.7,0.079,0.26,1
202.0,0.67,6.7,0.073,0.26,1
159.0,0.7,8.1,0.072,0.26,1
126.0,0.5,8.3,0.054,0.22,1
172.0,0.45,6.4,0.048,0.3,1
125.0,0.49,7.5,0.037,0.19,1
87.0,0.4,8.8,0.024,0.33,1
147.0,0.56,6.9,0.031,0.2,1
166.0,0.55,8.0,0.04,0.37,1
126.0,0.5,8.3,0.054,0.22,1
118.0,0.4,8.2,0.036,0.29,1
192.0,0.47,7.7,0.048,0.34,1
186.0,0.5,6.2,0.049,0.55,1
124.0,0.54,6.4,0.033,0.4,1
180.0,0.59,7.5,0.048,0.28,1
132.0,0.65,7.8,0.037,0.26,1
197.0,0.42,6.5,0.051,0.26,1
118.0,0.39,6.8,0.059,0.15,1
155.0,0.38,6.3,0.038,0.27,1
155.0,0.38,6.3,0.038,0.27,1
190.0,0.42,7.4,0.048,0.2,1
142.0,0.33,6.3,0.035,0.23,1
160.0,0.45,7.3,0.041,0.31,1
128.0,0.49,5.2,0.027,0.24,1
123.0,0.42,7.0,0.037,0.24,1
190.0,0.42,7.4,0.048,0.2,1
127.0,0.39,7.0,0.034,0.17,1
213.0,0.51,8.3,0.049,0.21,1
178.0,0.47,7.2,0.048,0.21,1
156.0,0.43,7.1,0.069,0.21,1
132.0,0.32,8.4,0.038,0.17,1
183.0,0.32,7.4,0.045,0.24,1
97.0,0.38,5.3,0.033,0.24,1
139.0,0.37,6.5,0.04,0.28,1
142.0,0.33,6.3,0.035,0.23,1
120.0,0.34,6.5,0.039,0.29,1
120.0,0.79,5.8,0.025,0.29,1
155.0,0.38,6.3,0.038,0.27,1
107.0,0.43,6.3,0.028,0.17,1
148.0,0.53,6.3,0.033,0.16,1
117.0,0.42,7.9,0.036,0.29,1
160.0,0.45,7.3,0.041,0.31,1
191.0,0.49,5.5,0.028,0.32,1
128.0,0.49,5.2,0.027,0.24,1
87.0,0.59,7.2,0.029,0.37,1
76.0,0.51,6.1,0.024,0.29,1
151.0,0.46,9.2,0.054,0.22,1
87.0,0.59,7.2,0.029,0.37,1
96.0,0.61,8.0,0.04,0.18,1
177.0,0.44,6.5,0.053,0.22,1
102.0,0.44,7.4,0.047,0.18,1
26.0,0.32,6.5,0.047,0.52,1
96.0,0.39,7.0,0.047,0.15,1
64.0,0.52,5.9,0.04,0.415,1
216.0,0.64,8.1,0.037,0.45,1
64.0,0.52,5.8,0.04,0.415,1
138.0,0.33,6.4,0.042,0.5,1
106.0,0.45,6.7,0.051,0.105,1
117.0,0.48,6.0,0.047,0.4,1
89.0,0.4,6.6,0.04,0.25,1
124.0,0.46,9.8,0.042,0.36,1
135.0,0.49,9.6,0.044,0.23,1
182.0,0.46,6.3,0.047,0.55,1
166.0,0.25,6.5,0.038,0.115,1
99.0,0.32,6.4,0.042,0.125,1
100.0,0.46,5.7,0.047,0.1,1
117.0,0.32,7.9,0.031,0.25,1
159.0,0.43,6.9,0.048,0.2,1
128.0,0.52,6.9,0.047,0.23,1
162.0,0.54,6.8,0.043,0.39,1
114.0,0.43,8.7,0.053,0.22,1
127.0,0.42,7.4,0.042,0.41,1
161.0,0.47,6.7,0.048,0.25,1
178.0,0.4,6.0,0.027,0.26,1
170.0,0.4,6.1,0.031,0.31,1
133.0,0.58,9.2,0.058,0.28,1
91.0,0.34,9.0,0.034,0.31,1
57.0,0.46,8.5,0.076,0.16,1
146.0,0.61,9.3,0.052,0.34,1
133.0,0.58,9.2,0.058,0.28,1
131.0,0.45,7.2,0.048,0.24,1
132.0,0.44,7.2,0.047,0.25,1
223.0,0.41,6.8,0.041,0.32,1
151.0,0.41,9.1,0.031,0.27,1
188.0,0.49,8.9,0.041,0.34,1
111.0,0.49,7.0,0.025,0.17,1
220.0,0.35,6.7,0.038,0.25,1
219.0,0.4,6.9,0.042,0.32,1
223.0,0.41,6.8,0.041,0.32,1
79.0,0.38,6.1,0.042,0.6,1
102.0,0.35,5.3,0.035,0.395,1
171.0,0.44,7.9,0.037,0.16,1
172.0,0.48,7.6,0.034,0.33,1
135.0,0.38,7.8,0.054,0.3,1
135.0,0.38,7.8,0.054,0.3,1
189.5,0.38,5.7,0.201,0.26,1
135.0,0.38,7.8,0.054,0.3,1
153.0,0.8,7.5,0.055,0.14,1
135.0,0.38,7.8,0.054,0.3,1
151.0,0.6,6.6,0.043,0.25,1
189.5,0.38,5.7,0.201,0.26,1
73.0,0.38,8.2,0.057,0.23,1
129.0,0.41,6.0,0.03,0.24,1
82.0,0.32,6.1,0.039,0.45,1
113.0,0.62,7.4,0.044,0.23,1
74.0,0.37,7.2,0.037,0.2,1
153.0,0.8,7.5,0.055,0.14,1
115.0,0.5,7.7,0.062,0.25,1
118.0,0.34,8.2,0.03,0.61,1
119.0,0.7,7.6,0.036,0.21,1
101.0,0.55,7.4,0.045,0.22,1
214.0,0.5,7.2,0.036,0.26,1
173.0,0.44,6.4,0.042,0.25,1
198.0,0.5,6.3,0.039,0.32,1
189.0,0.54,6.8,0.042,0.25,1
167.0,0.39,9.8,0.036,0.44,1
109.0,0.36,7.2,0.044,0.2,1
118.0,0.34,8.2,0.03,0.61,1
125.0,0.36,7.5,0.029,0.42,1
101.0,0.55,7.4,0.045,0.22,1
134.0,0.47,6.4,0.025,0.26,1
138.0,0.44,7.9,0.033,0.46,1
225.0,0.51,6.5,0.065,0.41,1
184.0,0.43,7.5,0.048,0.32,1
104.0,0.4,6.6,0.026,0.21,1
143.0,0.33,7.1,0.037,0.21,1
55.0,0.45,7.6,0.068,0.26,1
119.0,0.7,7.6,0.036,0.21,1
135.0,0.72,6.9,0.024,0.25,1
107.0,0.42,7.1,0.074,0.26,1
129.5,0.41,7.3,0.042,0.22,1
216.0,0.6,6.2,0.025,0.37,1
141.0,0.46,7.9,0.038,0.22,1
135.0,0.72,6.9,0.024,0.25,1
129.5,0.41,7.3,0.042,0.22,1
107.0,0.42,7.1,0.074,0.26,1
93.0,0.48,7.4,0.02,0.25,1
93.0,0.45,6.8,0.027,0.18,1
75.0,0.46,7.0,0.028,0.17,1
192.0,0.37,6.4,0.046,0.3,1
97.0,0.44,5.0,0.049,0.33,1
97.0,0.44,5.0,0.049,0.33,1
200.0,0.46,8.9,0.047,0.33,1
171.0,0.35,7.0,0.037,0.26,1
192.0,0.37,6.4,0.046,0.3,1
134.0,0.49,6.3,0.031,0.21,1
125.0,0.47,8.0,0.03,0.23,1
59.0,0.25,9.2,0.042,0.28,1
188.0,0.3,7.3,0.064,0.27,1
155.0,0.52,7.6,0.04,0.32,1
97.0,0.44,5.0,0.049,0.33,1
59.0,0.47,9.7,0.033,0.24,1
169.0,0.43,8.0,0.045,0.28,1
93.0,0.32,8.2,0.034,0.37,1
220.0,0.48,8.0,0.301,0.61,1
126.0,0.34,7.2,0.027,0.26,1
93.0,0.32,8.2,0.034,0.37,1
217.5,0.44,6.4,0.044,0.23,1
127.0,0.58,5.9,0.034,0.4,1
115.0,0.67,7.6,0.038,0.28,1
169.0,0.43,8.0,0.045,0.28,1
102.0,0.54,7.2,0.033,0.23,1
87.0,0.53,6.8,0.023,0.32,1
102.0,0.54,7.2,0.033,0.23,1
110.0,0.42,6.9,0.039,0.18,1
109.0,0.28,9.4,0.047,0.26,1
96.0,0.32,8.3,0.033,0.33,1
238.0,0.41,7.3,0.043,0.29,1
114.0,0.54,7.9,0.03,0.41,1
93.0,0.54,7.9,0.033,0.44,1
131.0,0.44,7.7,0.037,0.39,1
155.0,0.5,7.7,0.043,0.26,1
195.0,0.48,7.8,0.036,0.32,1
87.0,0.53,6.8,0.023,0.32,1
116.0,0.51,7.3,0.024,0.24,1
128.0,0.43,7.1,0.041,0.44,1
164.0,0.59,10.3,0.042,0.25,1
178.0,0.43,7.9,0.041,0.14,1
187.0,0.41,7.4,0.036,0.18,1
141.0,0.39,8.1,0.033,0.43,1
128.0,0.43,7.1,0.041,0.44,1
131.0,0.32,6.4,0.037,0.26,1
233.0,0.68,8.0,0.042,0.66,1
167.0,0.4,8.0,0.055,0.2,1
80.0,0.4,7.2,0.046,0.21,1
73.0,0.4,7.2,0.045,0.18,1
195.0,0.51,8.4,0.051,0.57,1
160.0,0.51,5.3,0.034,0.26,1
150.0,0.42,5.7,0.049,0.245,1
152.0,0.42,5.6,0.047,0.245,1
165.0,0.39,7.3,0.037,0.25,1
150.0,0.3,7.0,0.138,0.16,1
104.0,0.57,6.4,0.057,0.22,1
157.0,0.62,7.3,0.046,0.18,1
223.0,0.35,6.4,0.036,0.17,1
212.0,0.39,6.9,0.034,0.29,1
245.0,0.36,6.2,0.036,0.21,1
236.0,0.34,6.4,0.037,0.23,1
156.0,0.64,7.3,0.05,0.19,1
157.0,0.62,7.3,0.046,0.18,1
223.0,0.46,9.6,0.039,0.29,1
73.0,0.39,7.2,0.036,0.14,1
174.0,0.62,6.9,0.059,0.31,1
116.0,0.41,7.5,0.028,0.28,1
163.0,0.69,8.0,0.044,0.22,1
145.0,0.35,7.6,0.04,0.31,1
190.0,0.58,8.4,0.048,0.35,1
163.0,0.69,8.0,0.044,0.22,1
126.0,0.42,8.1,0.037,0.5,1
162.0,0.48,7.0,0.169,0.39,1
126.0,0.42,8.1,0.037,0.5,1
190.0,0.58,8.4,0.048,0.35,1
132.0,0.46,6.2,0.064,0.22,1
163.0,0.69,8.0,0.044,0.22,1
145.0,0.35,7.6,0.04,0.31,1
133.0,0.37,7.0,0.083,0.24,1
153.0,0.62,6.6,0.025,0.27,1
140.0,0.78,7.8,0.026,0.16,1
168.0,0.48,7.7,0.028,0.27,1
147.0,0.43,7.4,0.039,0.31,1
151.0,0.25,8.0,0.026,0.45,1
168.0,0.48,7.7,0.028,0.27,1
140.0,0.78,7.8,0.026,0.16,1
147.0,0.44,6.6,0.05,0.16,1
110.0,0.6,8.3,0.032,0.21,1
109.0,0.51,7.2,0.029,0.32,1
78.0,0.44,6.6,0.034,0.16,1
